Conviction_Points,Geo_Risk,Years_of_Experience,Vehicle_Type,Vehicle_Age,Driver_Age,License_Type,Gender,Normalized_Risk_Score
12,8,7,Car,12,25,Commercial,Male,0.412371134
15,4,10,Car,13,38,Motorcycle,Male,0.7396907216
0,7,12,Motorcycle,18,37,Commercial,Male,0.4020618557
3,5,2,Motorcycle,15,20,Motorcycle,Male,0.2087628866
3,2,2,Car,8,50,Commercial,Male,0.4664948454
7,3,32,Car,12,53,Commercial,Female,0.3505154639
9,0,24,Motorcycle,7,36,Motorcycle,Female,0.4510309278
19,7,5,Motorcycle,3,69,Commercial,Female,0.9458762887
18,9,19,Car,2,65,Motorcycle,Female,0.8118556701
4,6,0,Car,8,35,Commercial,Female,0.5592783505
6,9,17,Car,4,20,Commercial,Male,0.543814433
12,8,23,Car,12,27,Motorcycle,Male,0.6134020619
1,1,46,Motorcycle,12,60,Commercial,Male,0.08762886598
6,7,20,Car,13,24,Motorcycle,Male,0.4948453608
7,6,36,Car,18,39,Commercial,Male,0.3582474227
14,8,36,Motorcycle,15,67,Commercial,Female,0.5902061856
17,4,12,Motorcycle,8,63,Motorcycle,Female,0.8015463918
5,3,7,Motorcycle,12,25,Commercial,Female,0.2319587629
13,5,36,Motorcycle,7,39,Motorcycle,Female,0.5257731959
8,10,15,Motorcycle,3,27,Commercial,Female,0.6237113402
9,2,37,Car,2,65,Commercial,Male,0.3505154639
20,0,24,Motorcycle,8,43,Motorcycle,Male,0.7345360825
19,1,18,Motorcycle,4,36,Commercial,Male,0.5592783505
16,4,20,Car,12,25,Motorcycle,Male,0.6881443299
19,10,7,Car,12,32,Commercial,Male,0.9432989691
5,0,4,Motorcycle,13,22,Commercial,Female,0.2036082474
15,5,23,Car,18,67,Motorcycle,Female,0.6520618557
15,8,20,Car,15,46,Commercial,Male,0.7139175258
0,3,5,Motorcycle,8,37,Motorcycle,Male,0.4046391753
18,9,7,Motorcycle,12,27,Commercial,Male,0.9304123711
3,1,36,Motorcycle,7,45,Commercial,Male,0.2164948454
17,5,20,Motorcycle,3,38,Motorcycle,Male,0.543814433
19,10,9,Car,2,20,Commercial,Female,0.9536082474
19,9,5,Motorcycle,8,31,Motorcycle,Female,0.9716494845
19,0,25,Car,4,50,Commercial,Female,0.675257732
14,8,33,Car,12,33,Commercial,Female,0.587628866
7,10,20,Motorcycle,12,68,Motorcycle,Female,0.5592783505
0,1,0,Car,13,23,Commercial,Male,0.4175257732
1,6,12,Motorcycle,18,30,Motorcycle,Male,0.2525773196
9,9,19,Car,15,60,Commercial,Male,0.5798969072
0,7,9,Motorcycle,8,55,Commercial,Male,0.425257732
10,10,2,Car,12,23,Motorcycle,Male,0.7757731959
20,1,16,Motorcycle,7,70,Commercial,Female,0.8092783505
3,4,23,Motorcycle,3,66,Motorcycle,Female,0.3556701031
11,9,30,Car,2,48,Commercial,Female,0.3917525773
18,8,25,Motorcycle,8,25,Commercial,Female,0.7783505155
2,10,20,Motorcycle,4,38,Motorcycle,Female,0.2603092784
0,6,16,Car,12,37,Commercial,Male,0.3324742268
0,7,17,Car,12,52,Motorcycle,Male,0.337628866
4,5,40,Car,13,44,Commercial,Male,0.2371134021
5,7,17,Car,18,57,Commercial,Male,0.4664948454
6,8,11,Car,15,29,Motorcycle,Male,0.2577319588
8,10,18,Motorcycle,8,36,Commercial,Female,0.4536082474
20,5,17,Car,12,35,Motorcycle,Female,0.6417525773
17,1,0,Motorcycle,7,18,Commercial,Male,0.587628866
15,4,12,Motorcycle,3,64,Commercial,Male,0.75
4,7,6,Car,2,22,Motorcycle,Male,0.5515463918
9,8,16,Motorcycle,8,34,Commercial,Male,0.3762886598
10,7,24,Motorcycle,4,60,Motorcycle,Male,0.5670103093
1,7,33,Motorcycle,12,43,Commercial,Female,0.2654639175
1,9,14,Motorcycle,12,51,Commercial,Female,0.4381443299
7,9,5,Motorcycle,13,46,Motorcycle,Female,0.662371134
9,0,9,Car,18,64,Commercial,Female,0.5412371134
3,6,37,Motorcycle,15,52,Motorcycle,Female,0.2731958763
6,3,17,Motorcycle,8,35,Commercial,Male,0.3041237113
11,7,11,Car,12,25,Commercial,Male,0.6675257732
14,2,25,Motorcycle,7,61,Motorcycle,Male,0.5979381443
18,6,16,Motorcycle,3,18,Commercial,Male,0.8479381443
